City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,avigliana,IT,45.0771,7.3986,58.48,87,99,0.43,overcast clouds
1,kodiak,US,57.79,-152.4072,56.71,41,0,12.66,clear sky
2,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,61.39,45,75,11.18,broken clouds
3,mataura,NZ,-46.1927,168.8643,58.48,94,100,0.74,overcast clouds
4,busselton,AU,-33.65,115.3333,67.73,62,37,5.48,scattered clouds
5,muros,ES,42.7762,-9.0603,54.84,84,92,4.81,overcast clouds
6,butaritari,KI,3.0707,172.7902,82.4,74,15,16.44,few clouds
7,bubaque,GW,11.2833,-15.8333,77.02,71,3,10.87,clear sky
8,hobart,AU,-42.8794,147.3294,60.06,58,40,13.8,scattered clouds
9,cairns,AU,-16.9167,145.7667,79.11,83,100,10.36,light rain
10,acajutla,SV,13.5928,-89.8275,81.97,76,24,0.98,few clouds
11,faanui,PF,-16.4833,-151.75,82.18,73,9,7.23,clear sky
12,mahebourg,MU,-20.4081,57.7,75.25,94,75,2.3,broken clouds
13,khatanga,RU,71.9667,102.5,16.36,90,99,10.96,overcast clouds
14,vaini,TO,-21.2,-175.2,78.96,78,40,9.22,scattered clouds
15,ushuaia,AR,-54.8,-68.3,47.86,43,0,16.11,clear sky
16,bathsheba,BB,13.2167,-59.5167,81.21,78,20,11.5,few clouds
17,cape town,ZA,-33.9258,18.4232,57.9,81,0,12.66,clear sky
18,dobsina,SK,48.8207,20.3699,54.43,92,90,3.94,overcast clouds
19,saldanha,ZA,-33.0117,17.9442,50.05,85,2,13.53,clear sky
20,georgetown,MY,5.4112,100.3354,85.98,75,20,10.36,few clouds
21,dunmore town,BS,25.5,-76.65,80.08,77,90,9.13,overcast clouds
22,port moresby,PG,-9.4431,147.1797,89.02,70,40,11.5,scattered clouds
23,rikitea,PF,-23.1203,-134.9692,77.43,82,10,17.11,light rain
24,lahad datu,MY,5.0268,118.327,87.73,65,99,5.68,overcast clouds
25,guerrero negro,MX,27.9769,-114.0611,60.31,87,4,17.6,clear sky
26,bambous virieux,MU,-20.3428,57.7575,75.22,94,75,2.3,broken clouds
27,new norfolk,AU,-42.7826,147.0587,59.72,52,85,1.99,overcast clouds
28,guangyuan,CN,32.442,105.823,70.75,78,100,1.39,overcast clouds
29,beawar,IN,26.1,74.3167,89.91,26,0,15.7,clear sky
30,parainen,FI,60.3067,22.301,39.15,77,0,14.65,clear sky
31,tautira,PF,-17.7333,-149.15,81.1,74,8,0.09,clear sky
32,albany,US,42.6001,-73.9662,48.67,48,100,1.97,overcast clouds
33,puerto escondido,MX,15.85,-97.0667,81.43,78,20,0.0,few clouds
34,muisne,EC,0.6,-80.0333,77.81,89,100,7.29,light rain
35,sancti spiritus,CU,21.9297,-79.4425,76.14,83,0,4.92,clear sky
36,soledade,BR,-28.8183,-52.5103,48.97,96,5,5.01,clear sky
37,tasiilaq,GL,65.6145,-37.6368,28.56,72,100,5.32,overcast clouds
38,alyangula,AU,-13.8483,136.4192,85.87,58,75,9.22,broken clouds
39,barrow,US,71.2906,-156.7887,24.82,86,100,8.05,overcast clouds
40,nha trang,VN,12.25,109.1833,87.8,66,73,6.69,broken clouds
41,oksfjord,NO,70.2396,22.3479,33.98,88,100,16.53,snow
42,sabha,LY,27.0377,14.4283,68.7,23,0,7.23,clear sky
43,rio cuarto,AR,-33.1307,-64.3499,59.47,66,90,13.85,overcast clouds
44,punta arenas,CL,-53.15,-70.9167,44.71,70,40,20.71,scattered clouds
45,clarence town,AU,-32.5833,151.7833,65.61,44,0,4.97,clear sky
46,puerto ayora,EC,-0.7393,-90.3518,71.51,93,25,7.47,scattered clouds
47,te anau,NZ,-45.4167,167.7167,59.4,88,100,3.53,overcast clouds
48,arraial do cabo,BR,-22.9661,-42.0278,72.09,79,72,8.66,broken clouds
49,bredasdorp,ZA,-34.5322,20.0403,53.62,92,35,1.25,scattered clouds
50,bethel,US,41.3712,-73.414,48.29,47,100,12.66,overcast clouds
51,praia da vitoria,PT,38.7333,-27.0667,57.76,94,40,2.93,scattered clouds
52,ilhabela,BR,-23.7781,-45.3581,69.3,71,98,2.01,overcast clouds
53,worthington,US,40.0931,-83.018,54.93,75,100,5.75,overcast clouds
54,ulcinj,ME,41.9294,19.2244,57.97,90,100,1.03,overcast clouds
55,hermanus,ZA,-34.4187,19.2345,58.48,81,99,4.25,overcast clouds
56,kutoarjo,ID,-7.7169,109.9128,86.56,71,89,4.83,overcast clouds
57,abu dhabi,AE,24.4667,54.3667,84.31,41,0,4.61,clear sky
58,acapulco,MX,16.8634,-99.8901,79.77,72,97,6.85,overcast clouds
59,port-gentil,GA,-0.7193,8.7815,79.66,81,100,4.7,overcast clouds
60,acari,PE,-15.4311,-74.6158,67.75,82,62,2.24,broken clouds
61,port elizabeth,ZA,-33.918,25.5701,58.32,81,0,6.91,clear sky
62,hay river,CA,60.8156,-115.7999,33.78,100,100,14.97,light intensity drizzle
63,provideniya,RU,64.3833,-173.3,32.83,94,100,9.33,overcast clouds
64,sterling,US,39.0062,-77.4286,46.54,97,100,13.8,mist
65,fort-shevchenko,KZ,44.5086,50.263,58.53,85,90,14.45,light rain
66,hanmer springs,NZ,-42.5167,172.8167,63.5,54,100,6.55,overcast clouds
67,ikon-khalk,RU,44.3051,41.9142,40.53,91,98,2.08,overcast clouds
68,tuktoyaktuk,CA,69.4541,-133.0374,35.6,80,20,12.66,few clouds
69,horta,PT,38.5333,-28.6333,59.94,68,85,2.89,overcast clouds
70,chokurdakh,RU,70.6333,147.9167,16.7,87,82,8.63,broken clouds
71,egvekinot,RU,66.3167,-179.1667,25.86,95,100,6.44,overcast clouds
72,asyut,EG,27.181,31.1837,66.38,19,74,5.21,broken clouds
73,caravelas,BR,-17.7125,-39.2481,74.26,86,96,10.47,overcast clouds
74,lompoc,US,34.6391,-120.4579,58.78,74,0,20.71,haze
75,saint-philippe,RE,-21.3585,55.7679,69.39,84,42,12.41,light rain
76,ucluelet,CA,48.9329,-125.5528,48.09,78,87,13.62,overcast clouds
77,lae,PG,-6.7221,146.9847,84.87,65,14,7.61,few clouds
78,constitucion,CL,-35.3333,-72.4167,53.74,78,0,7.85,clear sky
79,tateyama,JP,34.9833,139.8667,59.52,78,100,13.04,overcast clouds
80,codrington,AU,-38.2667,141.9667,56.97,69,82,8.12,broken clouds
81,shenjiamen,CN,29.9576,122.298,63.12,89,100,7.54,overcast clouds
82,husavik,IS,66.0449,-17.3389,38.93,74,100,7.9,overcast clouds
83,yellowknife,CA,62.456,-114.3525,34.32,86,100,27.63,light rain and snow
84,lorengau,PG,-2.0226,147.2712,83.26,82,40,14.0,scattered clouds
85,vila franca do campo,PT,37.7167,-25.4333,66.2,94,82,1.63,broken clouds
86,severnoye,RU,56.3491,78.3619,40.37,37,96,8.5,overcast clouds
87,ponnani,IN,10.767,75.9252,76.32,76,84,6.87,broken clouds
88,nantucket,US,41.2835,-70.0995,47.01,88,100,20.71,moderate rain
89,salamiyah,SY,35.0113,37.0532,53.31,77,3,8.43,clear sky
90,warrnambool,AU,-38.3833,142.4833,61.81,62,67,9.78,broken clouds
91,kapaa,US,22.0752,-159.319,82.38,79,75,18.41,broken clouds
92,thompson,CA,55.7435,-97.8558,60.96,63,100,4.61,overcast clouds
93,bengkulu,ID,-3.8004,102.2655,80.53,72,100,2.33,overcast clouds
94,clyde river,CA,70.4692,-68.5914,17.83,86,40,3.44,scattered clouds
95,severo-kurilsk,RU,50.6789,156.125,50.47,73,98,12.12,overcast clouds
96,itapirapua,BR,-15.8233,-50.6133,72.7,79,71,3.02,broken clouds
97,andradas,BR,-22.0681,-46.5692,59.85,93,6,4.45,clear sky
98,mar del plata,AR,-38.0023,-57.5575,59.95,85,0,12.66,clear sky
99,upernavik,GL,72.7868,-56.1549,4.51,83,21,5.53,few clouds
100,sola,VU,-13.8833,167.55,81.43,73,11,20.71,few clouds
101,atuona,PF,-9.8,-139.0333,78.91,72,38,14.9,scattered clouds
102,vostok,RU,46.4856,135.8833,37.11,88,100,9.93,overcast clouds
103,krasnorechenskiy,RU,44.6265,135.3532,45.12,48,63,15.19,broken clouds
104,port hardy,CA,50.6996,-127.4199,46.4,87,75,8.05,light intensity shower rain
105,kouroussa,GN,10.65,-9.8833,77.97,71,56,5.95,broken clouds
106,hithadhoo,MV,-0.6,73.0833,84.2,76,22,16.06,few clouds
107,jamestown,US,42.097,-79.2353,49.64,46,0,8.05,clear sky
108,nalut,LY,30.3333,10.85,60.31,36,0,5.77,clear sky
109,rodrigues alves,BR,-7.738,-72.6509,74.71,86,88,0.92,overcast clouds
110,nikolskoye,RU,59.7035,30.7861,43.88,92,100,4.97,overcast clouds
111,fairbanks,US,64.8378,-147.7164,48.54,80,75,5.75,haze
112,eyl,SO,7.9803,49.8164,81.61,79,76,9.33,moderate rain
113,hurup,DK,56.7494,8.4195,43.61,3,11,20.62,few clouds
114,moree,AU,-29.4667,149.85,68.02,28,0,12.66,clear sky
115,flinders,AU,-34.5833,150.8552,71.19,48,0,5.01,clear sky
116,katsuura,JP,35.1333,140.3,58.78,73,100,16.82,overcast clouds
117,avarua,CK,-21.2078,-159.775,80.94,76,44,6.29,scattered clouds
118,los llanos de aridane,ES,28.6585,-17.9182,65.12,45,0,11.5,clear sky
119,half moon bay,US,37.4636,-122.4286,58.86,73,0,33.38,haze
120,vanimo,PG,-2.6741,141.3028,86.56,68,33,9.73,scattered clouds
121,antofagasta,CL,-23.65,-70.4,61.88,80,75,3.47,broken clouds
122,ribeira grande,PT,38.5167,-28.7,61.02,66,87,2.89,overcast clouds
123,loanda,AO,-8.8368,13.2343,77.0,94,75,10.36,broken clouds
124,san juan,AR,-31.5375,-68.5364,63.88,39,86,6.69,overcast clouds
125,hirara,JP,24.8,125.2833,80.87,83,75,3.44,broken clouds
126,yamada,JP,39.4667,141.95,59.81,40,94,5.19,overcast clouds
127,sitka,US,57.0531,-135.33,49.89,62,75,18.41,broken clouds
128,bluff,NZ,-46.6,168.3333,58.8,92,100,5.53,overcast clouds
129,buin,CL,-33.7333,-70.75,60.73,69,55,2.08,broken clouds
130,aksu,CN,41.1231,80.2644,76.64,26,1,4.03,clear sky
131,aklavik,CA,68.2191,-135.0107,35.74,81,97,8.46,overcast clouds
132,cidreira,BR,-30.1811,-50.2056,63.19,76,0,10.47,clear sky
133,leeton,AU,-34.5667,146.4,60.85,59,34,8.05,scattered clouds
134,tianmen,CN,30.6516,113.1603,78.75,56,22,8.66,few clouds
135,youghal,IE,51.95,-7.8506,51.1,95,99,3.98,overcast clouds
136,olafsvik,IS,64.8945,-23.7142,42.15,92,100,14.07,moderate rain
137,svetlogorsk,BY,52.6333,29.7333,46.31,96,65,5.12,broken clouds
138,bosaso,SO,11.2842,49.1816,85.39,61,8,6.51,clear sky
139,esperance,AU,-33.8667,121.9,67.84,37,62,14.67,broken clouds
140,shetpe,KZ,44.1667,52.1167,59.9,91,100,7.23,moderate rain
141,alice springs,AU,-23.7,133.8833,63.95,29,0,16.11,clear sky
142,ulaanbaatar,MN,47.9077,106.8832,48.33,49,0,4.47,clear sky
143,medicine hat,CA,50.0501,-110.6683,55.83,44,100,4.61,overcast clouds
144,kloulklubed,PW,7.0419,134.2556,75.7,81,100,13.11,overcast clouds
145,buala,SB,-8.145,159.5921,84.25,74,38,9.69,light rain
146,iqaluit,CA,63.7506,-68.5145,26.33,68,100,4.61,overcast clouds
147,kavieng,PG,-2.5744,150.7967,86.07,65,28,16.37,scattered clouds
148,atar,MR,20.5169,-13.0499,85.46,12,35,7.23,scattered clouds
149,mount isa,AU,-20.7333,139.5,80.37,41,0,10.36,clear sky
150,tiksi,RU,71.6872,128.8694,18.82,77,27,5.39,scattered clouds
151,takoradi,GH,4.8845,-1.7554,79.23,84,43,1.77,light rain
152,westport,US,41.1415,-73.3579,48.74,52,100,20.71,light rain
153,east london,ZA,-33.0153,27.9116,61.43,84,100,10.87,overcast clouds
154,pontianak,ID,-0.0333,109.3333,82.38,78,20,3.44,few clouds
155,tynda,RU,55.1667,124.7167,58.19,24,100,12.95,overcast clouds
156,pahrump,US,36.2083,-115.9839,84.25,19,84,6.02,broken clouds
157,paducah,US,37.0834,-88.6001,58.6,84,0,0.0,clear sky
158,hamina,FI,60.5697,27.1979,36.68,79,33,12.46,scattered clouds
159,seydi,TM,39.4816,62.9137,85.21,28,99,10.56,overcast clouds
160,port alfred,ZA,-33.5906,26.891,57.18,86,99,4.0,overcast clouds
161,xam nua,LA,20.4197,104.0439,74.28,78,98,1.45,overcast clouds
162,havre-saint-pierre,CA,50.2334,-63.5986,35.6,93,0,0.0,clear sky
163,deder,ET,9.3167,41.45,55.26,53,83,3.51,broken clouds
164,sakakah,SA,29.9697,40.2064,60.37,35,2,6.26,clear sky
165,hofn,IS,64.2539,-15.2082,43.92,75,100,8.1,overcast clouds
166,ixtapa,MX,20.7,-105.2,77.23,77,5,5.99,clear sky
167,smithers,CA,54.7804,-127.1743,46.72,49,75,11.5,broken clouds
168,bodden town,KY,19.2833,-81.25,82.4,77,20,6.91,few clouds
169,stephenville,US,32.2207,-98.2023,85.15,62,0,13.0,clear sky
170,dikson,RU,73.5069,80.5464,10.85,95,91,13.35,overcast clouds
171,hobyo,SO,5.3505,48.5268,82.27,76,85,14.94,overcast clouds
172,livingston,GB,55.9029,-3.5226,49.86,92,20,1.14,few clouds
173,kavali,IN,14.9167,79.9833,89.17,60,49,9.91,scattered clouds
174,lagoa vermelha,BR,-28.2086,-51.5258,47.91,93,3,4.05,clear sky
175,mount gambier,AU,-37.8333,140.7667,58.91,72,75,8.05,broken clouds
176,victoria,HK,22.2855,114.1577,85.17,63,89,8.99,overcast clouds
177,galveston,US,29.3669,-94.9669,81.18,88,2,3.0,clear sky
178,saskylakh,RU,71.9167,114.0833,13.84,90,62,14.9,broken clouds
179,la palma,US,33.8464,-118.0467,70.41,78,0,10.36,clear sky
180,shaunavon,CA,49.6501,-108.4181,49.78,70,99,9.17,overcast clouds
181,souillac,MU,-20.5167,57.5167,71.98,94,75,2.3,broken clouds
182,cherskiy,RU,68.75,161.3,29.93,95,100,17.22,light snow
183,qaanaaq,GL,77.484,-69.3632,15.57,80,99,5.79,overcast clouds
184,yerbogachen,RU,61.2767,108.0108,35.58,62,90,16.53,overcast clouds
185,port hedland,AU,-20.3167,118.5667,87.85,25,73,16.11,broken clouds
186,hilo,US,19.7297,-155.09,86.29,85,100,12.66,moderate rain
187,carauari,BR,-4.8828,-66.8958,72.7,99,100,1.14,overcast clouds
188,kaitangata,NZ,-46.2817,169.8464,55.72,96,100,2.66,moderate rain
189,nicoya,CR,10.1483,-85.452,79.16,86,100,3.04,overcast clouds
190,pandan,PH,14.0453,124.1694,86.9,69,15,11.97,few clouds
191,alofi,NU,-19.0595,-169.9187,78.69,89,100,4.61,overcast clouds
192,northport,US,33.229,-87.5772,64.22,76,0,8.05,clear sky
193,awash,ET,8.9833,40.1667,73.71,39,26,5.12,scattered clouds
194,leningradskiy,RU,69.3833,178.4167,29.19,85,100,7.31,overcast clouds
195,carutapera,BR,-1.195,-46.02,76.23,92,100,3.11,heavy intensity rain
196,pitkyaranta,RU,61.5734,31.4792,37.22,94,100,7.94,overcast clouds
197,ciudad bolivar,VE,8.1222,-63.5497,78.66,80,100,2.28,overcast clouds
198,flin flon,CA,54.7682,-101.865,51.1,98,100,8.16,overcast clouds
199,korla,CN,41.7597,86.1469,73.49,40,100,14.07,heavy intensity rain
200,beringovskiy,RU,63.05,179.3167,33.84,97,100,5.68,light snow
201,lipin bor,RU,60.2622,37.9763,44.38,93,34,10.76,scattered clouds
202,nanortalik,GL,60.1432,-45.2371,38.03,78,100,2.35,overcast clouds
203,dicabisagan,PH,17.0818,122.4157,87.3,62,96,6.44,overcast clouds
204,lahij,YE,13.1667,44.5833,78.44,69,48,2.89,scattered clouds
205,yinchuan,CN,38.4681,106.2731,61.72,35,100,13.58,overcast clouds
206,ahipara,NZ,-35.1667,173.1667,67.21,62,18,4.07,few clouds
207,whitecourt,CA,54.1502,-115.6855,42.04,75,75,18.41,broken clouds
208,hambantota,LK,6.1241,81.1185,82.74,94,75,5.75,broken clouds
209,salalah,OM,17.0151,54.0924,82.49,83,40,4.61,scattered clouds
210,mehamn,NO,71.0357,27.8492,31.71,72,100,29.17,light snow
211,berdigestyakh,RU,62.0989,126.6992,46.62,76,99,10.18,overcast clouds
212,longyearbyen,SJ,78.2186,15.6401,12.04,57,20,11.5,few clouds
213,khingansk,RU,49.1167,131.1833,50.07,27,7,10.98,clear sky
214,lebu,CL,-37.6167,-73.65,52.99,92,5,1.01,clear sky
215,sakaraha,MG,-22.9,44.5333,65.1,85,1,1.54,clear sky
216,narsaq,GL,60.9167,-46.05,50.22,62,99,7.2,overcast clouds
217,olavarria,AR,-36.8927,-60.3225,59.02,83,11,8.41,few clouds
218,pangnirtung,CA,66.1451,-65.7125,12.96,73,39,7.4,scattered clouds
219,chivay,PE,-15.6383,-71.6011,46.87,66,87,2.53,overcast clouds
220,yelizovo,RU,53.1873,158.3805,62.74,45,75,11.18,broken clouds
221,kahului,US,20.8947,-156.47,78.82,68,20,24.16,few clouds
222,mandalgovi,MN,45.7625,106.2708,54.19,31,0,12.86,clear sky
223,naze,JP,28.3667,129.4833,74.32,82,100,10.38,moderate rain
224,general pico,AR,-35.6566,-63.7568,63.63,60,0,12.57,clear sky
225,mayya,RU,61.7333,130.2811,56.52,63,97,12.73,overcast clouds
226,birao,CF,10.2849,22.7882,77.79,59,84,4.65,broken clouds
227,lavrentiya,RU,65.5833,-171.0,32.68,90,100,5.08,overcast clouds
228,chunskiy,RU,56.0815,99.6342,43.65,36,95,17.54,overcast clouds
229,gamba,GA,-2.65,10.0,75.76,87,100,1.68,overcast clouds
230,deputatskiy,RU,69.3,139.9,18.99,68,99,4.25,overcast clouds
231,sarakhs,IR,36.5449,61.1577,71.74,68,40,13.8,scattered clouds
232,arman,RU,59.7,150.1667,35.65,87,99,4.25,overcast clouds
233,nurota,UZ,40.5614,65.6886,81.79,28,38,8.05,scattered clouds
234,bilma,NE,18.6853,12.9164,90.84,13,100,5.99,overcast clouds
235,rajula,IN,21.05,71.4333,90.12,38,4,9.15,clear sky
236,eureka,US,40.8021,-124.1637,52.41,76,9,3.0,clear sky
237,kencong,ID,-8.2833,113.3667,85.68,71,100,2.57,overcast clouds
238,iberia,US,29.9502,-91.7507,80.67,83,0,8.05,clear sky
239,ponta delgada,PT,37.7333,-25.6667,66.51,94,75,2.3,broken clouds
240,avera,US,33.194,-82.5271,60.85,73,0,7.2,clear sky
241,mokhotlong,LS,-29.2894,29.0675,41.05,76,12,1.57,few clouds
242,macapa,BR,0.0389,-51.0664,80.58,89,20,2.3,few clouds
243,dukat,RU,62.55,155.55,28.69,90,100,15.59,light snow
244,santa lucia,ES,27.9117,-15.5407,58.32,77,20,17.27,few clouds
245,vidalia,US,32.2177,-82.4135,67.78,68,0,0.0,clear sky
246,torbay,CA,47.6666,-52.7314,33.76,86,75,4.0,broken clouds
247,iranshahr,IR,27.2025,60.6848,82.74,32,0,4.61,clear sky
248,moerai,PF,-22.4333,-151.3333,79.16,75,58,12.03,broken clouds
249,burnie,AU,-41.0667,145.9167,60.17,57,28,10.69,scattered clouds
250,tutzing,DE,47.9094,11.2803,52.43,96,100,5.75,overcast clouds
251,ostrovnoy,RU,68.0531,39.5131,32.94,79,96,14.23,overcast clouds
252,grand-santi,GF,4.25,-54.3833,73.15,99,100,2.64,overcast clouds
253,east millcreek,US,40.7,-111.8105,59.18,31,40,5.75,scattered clouds
254,castro,BR,-24.7911,-50.0119,48.0,98,72,4.27,broken clouds
255,alekseyevsk,RU,57.8406,108.3492,45.36,49,100,15.17,overcast clouds
256,san rafael,AR,-34.6177,-68.3301,60.82,37,62,10.04,broken clouds
257,paamiut,GL,61.994,-49.6678,30.7,89,98,12.46,overcast clouds
258,charters towers,AU,-20.1,146.2667,78.33,66,98,13.0,overcast clouds
259,carnarvon,AU,-24.8667,113.6333,77.07,47,40,4.61,scattered clouds
260,klaksvik,FO,62.2266,-6.589,45.52,80,100,18.28,overcast clouds
261,rawson,AR,-43.3002,-65.1023,68.43,47,24,11.52,few clouds
262,chuy,UY,-33.6971,-53.4616,56.32,85,2,4.99,clear sky
263,mogadishu,SO,2.0371,45.3438,81.21,84,8,13.73,clear sky
264,port blair,IN,11.6667,92.75,84.0,79,100,22.64,overcast clouds
265,ilulissat,GL,69.2167,-51.1,19.42,73,2,0.0,clear sky
266,nadym,RU,65.5333,72.5167,30.92,93,77,11.27,broken clouds
267,baykit,RU,61.67,96.37,30.58,76,100,16.4,overcast clouds
268,iquique,CL,-20.2208,-70.1431,64.44,78,59,2.19,broken clouds
269,papillion,US,41.1544,-96.0422,67.21,56,0,16.11,clear sky
270,taoudenni,ML,22.6783,-3.9836,81.36,11,0,16.17,clear sky
271,darnah,LY,32.767,22.6367,62.55,81,0,5.3,clear sky
272,royan,FR,45.6285,-1.0281,53.92,87,9,6.2,clear sky
273,luanda,AO,-8.8368,13.2343,77.0,94,75,10.36,broken clouds
274,tacoronte,ES,28.4769,-16.4102,65.25,58,0,3.44,clear sky
275,kavaratti,IN,10.5669,72.642,84.58,68,81,11.14,broken clouds
276,rundu,NA,-17.9333,19.7667,58.6,44,6,1.97,clear sky
277,lagunas,PE,-5.2269,-75.6753,72.7,98,100,2.13,overcast clouds
278,graaff-reinet,ZA,-32.2522,24.5308,49.93,95,100,10.02,overcast clouds
279,cabo san lucas,MX,22.8909,-109.9124,79.61,52,0,1.99,clear sky
280,merauke,ID,-8.4667,140.3333,84.87,77,100,10.54,heavy intensity rain
281,kangaatsiaq,GL,68.3065,-53.4641,15.26,88,10,6.17,clear sky
282,dutlwe,BW,-23.9833,23.9,60.04,45,96,4.92,overcast clouds
283,pevek,RU,69.7008,170.3133,29.03,84,100,3.98,overcast clouds
284,majene,ID,-3.5403,118.9707,85.21,74,55,1.28,broken clouds
285,vestmanna,FO,62.1564,-7.1664,43.72,87,75,14.97,broken clouds
286,necochea,AR,-38.5473,-58.7368,58.98,81,88,12.15,overcast clouds
287,tomatlan,MX,19.9333,-105.25,71.55,84,38,1.01,scattered clouds
288,phalombe,MW,-15.8064,35.6507,60.82,84,26,1.19,scattered clouds
289,tuatapere,NZ,-46.1333,167.6833,60.24,89,100,2.08,light rain
290,bengbu,CN,32.9408,117.3608,69.57,62,79,9.91,broken clouds
291,ponta do sol,PT,32.6667,-17.1,65.01,68,80,6.96,broken clouds
292,yulara,AU,-25.2406,130.9889,62.44,31,0,13.8,clear sky
293,san miguel,SV,13.4833,-88.1833,83.86,74,20,4.61,few clouds
294,broken hill,AU,-31.95,141.4333,58.71,58,0,8.05,clear sky
295,qandala,SO,11.472,49.8728,85.03,64,14,7.72,few clouds
296,atasu,KZ,48.6814,71.6433,46.94,34,73,22.91,broken clouds
297,tiarei,PF,-17.5333,-149.3333,80.62,75,31,1.86,scattered clouds
298,reconquista,AR,-29.15,-59.65,58.42,84,98,7.07,overcast clouds
299,dinard,FR,48.6314,-2.0614,51.64,97,100,5.75,mist
300,brookhaven,US,31.5791,-90.4407,71.26,86,0,5.3,clear sky
301,chulym,RU,55.0997,80.9572,41.65,33,3,10.36,clear sky
302,ukiah,US,39.1502,-123.2078,53.65,72,76,5.99,broken clouds
303,kholodnyy,RU,62.7167,147.95,31.03,83,100,2.89,overcast clouds
304,kruisfontein,ZA,-34.0033,24.7314,52.88,77,55,5.79,broken clouds
305,sur,OM,22.5667,59.5289,86.54,54,0,3.67,clear sky
306,inhambane,MZ,-23.865,35.3833,69.78,84,0,2.75,clear sky
307,inirida,CO,3.8653,-67.9239,72.7,98,87,2.71,overcast clouds
308,caraz,PE,-9.0486,-77.81,62.76,84,67,1.45,broken clouds
309,sanary-sur-mer,FR,43.1178,5.8001,58.95,82,100,4.09,overcast clouds
310,paita,PE,-5.0892,-81.1144,67.93,80,1,15.39,clear sky
311,sao filipe,CV,14.8961,-24.4956,72.64,80,10,9.01,clear sky
312,tanda,IN,26.55,82.65,93.97,29,0,5.68,clear sky
313,havoysund,NO,70.9963,24.6622,32.23,71,100,27.29,light snow
314,lazaro cardenas,MX,17.9583,-102.2,76.3,79,40,6.44,scattered clouds
315,saint george,US,37.1041,-113.5841,86.59,14,0,27.63,clear sky
316,talnakh,RU,69.4865,88.3972,16.21,88,10,12.97,clear sky
317,poum,NC,-20.2333,164.0167,78.24,61,53,24.27,broken clouds
318,adeje,ES,28.1227,-16.726,69.01,79,0,5.75,clear sky
319,lata,PT,40.1629,-8.3327,55.08,65,97,3.09,overcast clouds
320,luz,BR,-19.8014,-45.6856,66.18,77,26,4.38,scattered clouds
321,pisco,PE,-13.7,-76.2167,64.45,88,9,10.36,clear sky
322,launceston,AU,-41.45,147.1667,64.62,52,6,5.75,clear sky
323,gimli,CA,50.6336,-96.9907,44.62,81,100,9.22,moderate rain
324,luderitz,NA,-26.6481,15.1594,52.79,75,0,14.88,clear sky
325,muravlenko,RU,63.7898,74.523,28.29,85,27,9.64,scattered clouds
326,cap malheureux,MU,-19.9842,57.6142,75.47,76,35,3.0,scattered clouds
327,rorvik,NO,64.8621,11.2373,39.78,60,100,19.55,overcast clouds
328,dzhebariki-khaya,RU,62.2167,135.8,41.45,65,100,7.92,overcast clouds
329,boa vista,BR,2.8197,-60.6733,78.78,78,40,2.3,scattered clouds
330,huarmey,PE,-10.0681,-78.1522,66.16,87,27,8.61,scattered clouds
331,edd,ER,13.9297,41.6925,82.78,75,91,5.35,overcast clouds
332,bowmore,US,34.9421,-79.3031,60.64,77,100,13.8,overcast clouds
